lambda_phys,model_name,capacity_name,parameter_count,dataset_size,data_seed,train_seed,status,test_rel_l2,val_rel_l2,train_rel_l2,test_mse,val_mse,train_mse,best_epoch,runtime_seconds
0.1,piml-conservation,large,67074,128,11,101,success,0.003135508857667446,0.003246803767979145,0.0010097842896357179,0.00011056891526095569,0.00010867133096326143,6.0360925999702886e-06,399,4.20174503326416
0.1,piml-conservation,large,67074,128,11,202,nan,0.08050612360239029,0.08093366026878357,0.08290538936853409,0.038577836006879807,0.03867221996188164,0.04031682759523392,5,0.09464621543884277
0.1,piml-conservation,large,67074,128,11,303,success,0.002771583152934909,0.002938972320407629,0.0007653295178897679,0.000109213448013179,0.00012422873987816274,3.7002523640694562e-06,399,3.7123844623565674
0.1,piml-conservation,large,67074,4096,11,101,nan,0.09907698631286621,0.10272824019193649,0.0997207909822464,0.03946540132164955,0.04020695760846138,0.039673760533332825,-1,0.01805257797241211
0.1,piml-conservation,large,67074,4096,11,202,success,0.0008454669150523841,0.0008395112818107009,0.0008180123986676335,3.953673513024114e-06,3.828478384093614e-06,3.7081144910189323e-06,79,7.930485963821411
0.1,piml-conservation,large,67074,4096,11,303,success,0.0007279542041942477,0.0007271513459272683,0.0006864850874990225,3.3383523714292096e-06,3.1779388791619567e-06,2.8008680601487868e-06,49,5.64699387550354
0.1,piml-conservation,small,4482,1024,11,101,success,0.0024895842652767897,0.0025303999427706003,0.0022177696228027344,4.170549800619483e-05,4.209339385852218e-05,3.341783303767443e-05,386,8.282069206237793
0.1,piml-conservation,small,4482,1024,11,202,success,0.0021126787178218365,0.00220126542262733,0.0018733339384198189,2.8808477509301156e-05,3.017025301232934e-05,2.049119575531222e-05,373,8.464673519134521
0.1,piml-conservation,small,4482,1024,11,303,success,0.0019006673246622086,0.0018890656065195799,0.0015424314187839627,2.1299434592947364e-05,2.2889149477123283e-05,1.3178558219806291e-05,386,8.077255249023438
0.1,piml-conservation,small,4482,128,11,101,success,0.008176450617611408,0.008313916623592377,0.0055977581068873405,0.0005366385448724031,0.0005671814433299005,0.0002770325809251517,399,4.270742416381836
0.1,piml-conservation,small,4482,128,11,202,success,0.008606906048953533,0.008882195688784122,0.006209634244441986,0.000702889752574265,0.0007385878125205636,0.0003722760593518615,399,4.56458592414856
0.1,piml-conservation,small,4482,128,11,303,success,0.00596406776458025,0.006472382694482803,0.004012354649603367,0.00035592381027527153,0.0003982459893450141,0.00010310159268556163,399,4.1890833377838135
0.1,piml-conservation,small,4482,4096,11,101,nan,0.1417873203754425,0.15014353394508362,0.14518770575523376,0.10234467685222626,0.10619151592254639,0.10527534782886505,0,0.07988286018371582
0.1,piml-conservation,small,4482,4096,11,202,success,0.0013659570831805468,0.0013932905858382583,0.0013319093268364668,1.1178995009686332e-05,1.1453393199190032e-05,1.0516055226617027e-05,186,11.596771240234375
0.1,piml-conservation,small,4482,4096,11,303,success,0.0012375159421935678,0.0012549366801977158,0.0011521292617544532,8.445974344795104e-06,8.661549145472236e-06,7.2091343099600635e-06,282,16.390319347381592
1.0,piml-conservation,large,67074,1024,11,101,nan,0.14519621431827545,0.15525855123996735,0.14431069791316986,0.10314644128084183,0.10762502253055573,0.10349205881357193,-1,0.01154780387878418
