model_name,is_physics_informed,physics_prior,capacity_name,hidden_widths,parameter_count,dataset_size,n_attempted,n_runs,divergence_rate,nan_rate,test_rel_l2_mean,test_rel_l2_std,test_rel_l2_stderr,val_rel_l2_mean,val_rel_l2_std,val_rel_l2_stderr,test_mse_mean,test_mse_std,test_mse_stderr,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_stderr
plain,False,none,small-med,"96,96",9794,1024,9,9,0.0,0.0,0.003968443773272965,0.000545007148183022,0.00018166904939434067,0.00400045744350387,0.0005182720020350619,0.00017275733401168729,0.00013874185484989235,4.5102676155352184e-05,1.5034225385117395e-05,21.484660731421577,0.3883630420210214,0.12945434734034048
plain,False,none,small-med,"96,96",9794,2048,9,9,0.0,0.0,0.0022256106086489228,0.0001203645774827017,4.0121525827567236e-05,0.0022208757646795777,0.0001039405998786949,3.464686662623163e-05,3.6486758795540984e-05,2.6281731620647615e-06,8.760577206882539e-07,22.45107701089647,0.6496120692063284,0.21653735640210947
plain,False,none,small-med,"96,96",9794,4096,4,4,0.0,0.0,0.0015353946946561337,0.0001039805722444541,5.199028612222705e-05,0.001556275790790096,0.00013093402081271085,6.546701040635543e-05,1.4520882132273982e-05,1.6658784765894232e-06,8.329392382947116e-07,27.966334581375122,0.16848855383739905,0.08424427691869953
plain,False,none,tiny,"32,32",1218,48,9,9,0.0,0.0,0.017874801841874916,0.002151690426789258,0.000717230142263086,0.018206233365668192,0.002373091058051232,0.000791030352683744,0.002961271895199186,0.0009758614361751651,0.00032528714539172167,3.343551688724094,0.09870761893968028,0.03290253964656009
plain,False,none,tiny,"32,32",1218,64,9,9,0.0,0.0,0.016383173772030406,0.0017408347673178333,0.0005802782557726111,0.01652474080522855,0.0021003646649359192,0.0007001215549786397,0.002477457772733437,0.0006559460901214649,0.00021864869670715496,3.394236538145277,0.1144083969170313,0.0381361323056771
plain,False,none,tiny,"32,32",1218,96,9,9,0.0,0.0,0.015340001736250188,0.0012119074588713028,0.00040396915295710093,0.01542966730064816,0.0012759487465280243,0.0004253162488426748,0.001933841991962658,0.00033732056808017345,0.00011244018936005781,3.554986662334866,0.0290546720670829,0.009684890689027633
plain,False,none,tiny,"32,32",1218,128,9,9,0.0,0.0,0.014626343734562397,0.0011286938181653298,0.0003762312727217766,0.014609921620123915,0.0011515682371211317,0.00038385607904037724,0.001801533275283873,0.00028402232992306547,9.467410997435515e-05,3.736379040612115,0.2924669365732575,0.0974889788577525
plain,False,none,tiny,"32,32",1218,256,9,9,0.0,0.0,0.008922944931934277,0.0011984039255862988,0.00039946797519543295,0.008910356658614345,0.0014171059430400105,0.0004723686476800035,0.0006204128634029379,0.00019453485733594625,6.484495244531541e-05,4.520894951290554,1.6787555509752938,0.5595851836584312
plain,False,none,tiny,"32,32",1218,384,9,9,0.0,0.0,0.006557340164565378,0.0006626705109646064,0.00022089017032153547,0.006549771668182479,0.0008069561420852106,0.0002689853806950702,0.0002897526008180446,7.325190787072744e-05,2.4417302623575813e-05,9.587034278445774,0.638047485242743,0.21268249508091433
plain,False,none,tiny,"32,32",1218,512,9,9,0.0,0.0,0.005478917310635249,0.0005854663224270164,0.00019515544080900545,0.005470750646458732,0.0006361872894189515,0.00021206242980631714,0.0002050336802818088,4.886367346154675e-05,1.6287891153848918e-05,54.961944262186684,50.914249303573044,16.971416434524347
