lambda_phys,model_name,capacity_name,parameter_count,dataset_size,data_seed,train_seed,status,test_rel_l2,val_rel_l2,train_rel_l2,test_mse,val_mse,train_mse,best_epoch,runtime_seconds
0.0001,piml,large,67074,128,22,101,success,0.002624508924782276,0.0029134289361536503,0.0008997329277917743,6.664160900982097e-05,8.191619417630136e-05,4.964265372109367e-06,399,4.5424888134002686
0.0001,piml,large,67074,128,22,202,success,0.0024829478934407234,0.0026612947694957256,0.0009270044974982738,6.32412702543661e-05,8.020563109312207e-05,6.4846885834413115e-06,399,4.420491695404053
0.0001,piml,large,67074,128,22,303,success,0.002266246359795332,0.0023867087438702583,0.0009770395699888468,6.484648474724963e-05,7.86323071224615e-05,7.78846242610598e-06,368,4.698915243148804
0.0001,piml,large,67074,128,33,101,success,0.003019751748070121,0.0027508267667144537,0.0012522394536063075,0.00019507310935296118,0.0001631565683055669,1.217291719513014e-05,399,4.672289133071899
0.0001,piml,large,67074,128,33,202,success,0.0029596269596368074,0.0026701970491558313,0.0012363310670480132,0.00014122523134574294,0.00011850646114908159,1.3893964023736771e-05,398,4.596146106719971
0.0001,piml,large,67074,128,33,303,success,0.0026978603564202785,0.0024753951001912355,0.001057492452673614,0.00011123735748697072,8.956563397077844e-05,5.600199074251577e-06,395,4.340952634811401
0.0001,piml,large,67074,4096,11,101,success,0.0007708595367148519,0.0007851013215258718,0.00074032973498106,3.985799139627488e-06,4.257604359736433e-06,3.683038812596351e-06,59,5.451166391372681
0.0001,piml,large,67074,4096,11,202,success,0.0007234199438244104,0.0007707735057920218,0.0007293313392437994,2.4949508770077955e-06,2.7063110792369116e-06,2.3869331471360056e-06,124,8.513471364974976
0.0001,piml,large,67074,4096,11,303,success,0.0008183085592463613,0.0008536195964552462,0.0008005938143469393,3.166347596561536e-06,3.5068612760369433e-06,3.0268283808254637e-06,78,6.389149904251099
0.0001,piml,large,67074,4096,22,101,success,0.0007122817914932966,0.0007256024982780218,0.0006715988856740296,3.323349119455088e-06,3.735630571100046e-06,2.8735457817674614e-06,53,4.803074836730957
0.0001,piml,large,67074,4096,22,202,success,0.0006307376315817237,0.0006517881993204355,0.0005941558629274368,2.3916695681691635e-06,2.7819448860100238e-06,2.170746483898256e-06,97,7.611313581466675
0.0001,piml,large,67074,4096,22,303,success,0.0007736993720754981,0.0008175575640052557,0.0007511709700338542,3.2304135402227985e-06,3.590726691982127e-06,2.8593083243322326e-06,72,5.842341423034668
0.0001,piml,large,67074,4096,33,101,success,0.0008034182246774435,0.0007873668801039457,0.0007516765617765486,4.58497743238695e-06,4.803499905392528e-06,4.009645635960624e-06,44,5.174304723739624
0.0001,piml,large,67074,4096,33,202,success,0.0009023819002322853,0.0008669838425703347,0.000824934511911124,4.785968030773802e-06,4.795032509719022e-06,4.217833065922605e-06,43,4.400954484939575
0.0001,piml,large,67074,4096,33,303,success,0.0009387240279465914,0.0008671564282849431,0.0008665169589221478,4.716545390692772e-06,4.680025085690431e-06,4.3317741074133664e-06,49,4.99679160118103
